name,profile,responsible
Администраторы,Администратор,
Бухгалтер,Бухгалтер,
"Ввод начальных остатков, остатки по поставщикам","Ввод начальных остатков, остатки по поставщикам",
Ввод номенклатуры,Ответственный за ведение номенклатуры (дополнительный),
Ведение авансовых отчетов,Ведение авансовых отчетов,
Заявка на внутреннее потребление,Заявка на внутреннее потребление,
ЗРДС,ЗРДС,
ЗРДСРЛС,ЗРДС,
История изменения документов,История изменения документов,
Менеджер по доставке (импорт),Менеджер по доставке (импорт),
Менеджер по закупкам,Менеджер по закупкам,
Менеджер по продажам,Менеджер по продажам,
Менеджер проекта,Менеджер проекта,
Открытие внешних отчетов и обработок,Открытие внешних отчетов и обработок,
Оформление товаров и услуг,Оформление товаров и услуг,
План закупок + утверждение,План закупок чтение+изменение,
План продаж,План продаж,
Приобретение услуг и прочих активов,Приобретение услуг и прочих активов,
Производство,Производство + переработка,
Работник склада,Кладовщик,
Согласование планов закупок,Утверждение планов закупок,
Согласования ЗРДС,Согласование ЗРДС,
Состояние обеспечения заказов,Состояние обеспечения заказов,
Только чтение,Только чтение,
